,Node_1,Node_2
649,ENSG00000054356,PTPRN
650,ENSG00000054392,HHAT
651,ENSG00000054523,KIF1B
652,ENSG00000054598,FOXC1
653,ENSG00000054611,TBC1D22A
654,ENSG00000054654,SYNE2
655,ENSG00000054690,PLEKHH1
656,ENSG00000054793,ATP9A
657,ENSG00000054965,FAM168A
658,ENSG00000054967,RELT
659,ENSG00000054983,GALC
660,ENSG00000055044,NOP58
661,ENSG00000055070,SZRD1
662,ENSG00000055118,KCNH2
663,ENSG00000055130,CUL1
664,ENSG00000055147,FAM114A2
665,ENSG00000055163,CYFIP2
666,ENSG00000055208,TAB2
667,ENSG00000055211,GINM1
668,ENSG00000055332,EIF2AK2
669,ENSG00000055483,USP36
670,ENSG00000055609,KMT2C
671,ENSG00000055732,MCOLN3
672,ENSG00000055917,PUM2
673,ENSG00000055950,MRPL43
674,ENSG00000055955,ITIH4
675,ENSG00000055957,ITIH1
676,ENSG00000056050,C4orf27
677,ENSG00000056097,ZFR
678,ENSG00000056277,ZNF280C
679,ENSG00000056558,TRAF1
680,ENSG00000056586,RC3H2
681,ENSG00000056661,PCGF2
682,ENSG00000056736,IL17RB
683,ENSG00000056972,TRAF3IP2
684,ENSG00000056998,GYG2
685,ENSG00000057019,DCBLD2
686,ENSG00000057252,SOAT1
687,ENSG00000057294,PKP2
688,ENSG00000057468,MSH4
689,ENSG00000057593,F7
690,ENSG00000057608,GDI2
691,ENSG00000057657,PRDM1
692,ENSG00000057663,ATG5
693,ENSG00000057704,TMCC3
694,ENSG00000057757,PITHD1
695,ENSG00000057935,MTA3
696,ENSG00000058056,USP13
697,ENSG00000058063,ATP11B
698,ENSG00000058085,LAMC2
699,ENSG00000058091,CDK14
700,ENSG00000058262,SEC61A1
701,ENSG00000058272,PPP1R12A
702,ENSG00000058335,RASGRF1
703,ENSG00000058404,CAMK2B
704,ENSG00000058453,CROCC
705,ENSG00000058600,POLR3E
706,ENSG00000058668,ATP2B4
707,ENSG00000058673,ZC3H11A
708,ENSG00000058729,RIOK2
709,ENSG00000058799,YIPF1
710,ENSG00000058804,NDC1
711,ENSG00000058866,DGKG
712,ENSG00000059122,FLYWCH1
713,ENSG00000059145,UNKL
714,ENSG00000059377,TBXAS1
715,ENSG00000059378,PARP12
716,ENSG00000059573,ALDH18A1
717,ENSG00000059588,TARBP1
718,ENSG00000059691,PET112
719,ENSG00000059728,MXD1
720,ENSG00000059758,CDK17
721,ENSG00000059769,DNAJC25
722,ENSG00000059804,SLC2A3
723,ENSG00000059915,PSD
724,ENSG00000060069,CTDP1
725,ENSG00000060138,YBX3
726,ENSG00000060140,STYK1
727,ENSG00000060237,WNK1
728,ENSG00000060339,CCAR1
729,ENSG00000060491,OGFR
730,ENSG00000060558,GNA15
731,ENSG00000060566,CREB3L3
732,ENSG00000060642,PIGV
733,ENSG00000060656,PTPRU
734,ENSG00000060688,SNRNP40
735,ENSG00000060709,RIMBP2
736,ENSG00000060749,QSER1
737,ENSG00000060762,MPC1
738,ENSG00000060971,ACAA1
739,ENSG00000060982,BCAT1
740,ENSG00000061273,HDAC7
741,ENSG00000061337,LZTS1
742,ENSG00000061656,SPAG4
743,ENSG00000061676,NCKAP1
744,ENSG00000061794,MRPS35
745,ENSG00000061918,GUCY1B3
746,ENSG00000061936,SFSWAP
747,ENSG00000061938,TNK2
748,ENSG00000061987,MON2
749,ENSG00000062038,CDH3
750,ENSG00000062194,GPBP1
751,ENSG00000062282,DGAT2
752,ENSG00000062370,ZNF112
753,ENSG00000062485,CS
754,ENSG00000062524,LTK
755,ENSG00000062582,MRPS24
756,ENSG00000062598,ELMO2
757,ENSG00000062650,WAPAL
758,ENSG00000062716,VMP1
759,ENSG00000062725,APPBP2
760,ENSG00000062822,POLD1
761,ENSG00000063015,SEZ6
762,ENSG00000063046,EIF4B
763,ENSG00000063127,SLC6A16
764,ENSG00000063169,GLTSCR1
